U1,N1,N2,N_1_1_1,N_1_1_2,N_1_2_1,N_1_2_2,N_1_3_1,N_1_3_2,N_1_4_1,N_1_4_2,N_2_1_1,N_2_1_2,N_2_2_1,N_2_2_2,N_2_3_1,N_2_3_2,N_2_4_1,N_2_4_2
7, 18, 10, 44, 26, 42, 24, 26, 24, 28, 26, 44, 26, 42, 24, 26, 24, 28, 26
7, 10, 18, 26, 28, 26, 44, 24, 42, 24, 26, 26, 28, 26, 44, 24, 42, 24, 26
5, 12, 28, 24, 60, 24, 28, 32, 60, 32, 28, 24, 60, 24, 28, 32, 60, 32, 28
7, 10, 22, 42, 42, 36, 32, 44, 32, 42, 42, 42, 42, 36, 32, 44, 32, 42, 42
6, 24, 10, 60, 24, 26, 22, 60, 24, 26, 22, 60, 24, 26, 22, 60, 24, 26, 22
6, 10, 24, 24, 60, 24, 60, 22, 26, 22, 26, 24, 60, 24, 60, 22, 26, 22, 26
8, 10, 20, 22, 62, 24, 72, 22, 62, 32, 72, 22, 62, 24, 72, 22, 62, 32, 72
8, 8, 16, 26, 40, 26, 32, 24, 42, 24, 34, 26, 40, 26, 32, 24, 42, 24, 34
5, 28, 12, 60, 32, 28, 24, 28, 32, 60, 24, 60, 32, 28, 24, 28, 32, 60, 24
7, 14, 24, 26, 40, 32, 42, 26, 40, 32, 74, 26, 40, 32, 42, 26, 40, 32, 74
7, 16, 10, 56, 24, 62, 22, 56, 24, 62, 22, 56, 24, 62, 22, 56, 24, 62, 22
8, 10, 24, 24, 42, 24, 74, 26, 40, 26, 40, 24, 42, 24, 74, 26, 40, 26, 40
9, 8, 20, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42, 42
8, 22, 8, 42, 42, 32, 36, 32, 36, 42, 42, 42, 42, 32, 36, 32, 36, 42, 42
8, 10, 10, 44, 26, 26, 24, 28, 26, 26, 24, 44, 26, 26, 24, 28, 26, 26, 24
7, 10, 16, 24, 28, 24, 28, 22, 42, 22, 42, 24, 28, 24, 28, 22, 42, 22, 42
8, 10, 10, 26, 28, 24, 26, 26, 28, 24, 42, 26, 28, 24, 26, 26, 28, 24, 42
5, 12, 12, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52
7, 22, 10, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44
8, 22, 8, 42, 42, 32, 36, 42, 42, 32, 36, 42, 42, 32, 36, 42, 42, 32, 36
9, 8, 12, 42, 30, 42, 26, 42, 30, 42, 26, 42, 30, 42, 26, 42, 30, 42, 26
9, 20, 8, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42
8, 14, 10, 60, 24, 30, 22, 28, 24, 30, 22, 60, 24, 30, 22, 28, 24, 30, 22
10, 6, 10, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24, 28, 26, 26, 24
7, 14, 10, 32, 36, 26, 42, 32, 44, 26, 42, 32, 36, 26, 42, 32, 44, 26, 42
8, 10, 10, 28, 26, 28, 26, 26, 24, 26, 24, 28, 26, 28, 26, 26, 24, 26, 24
8, 24, 10, 42, 24, 72, 26, 42, 24, 40, 26, 42, 24, 72, 26, 42, 24, 40, 26
6, 16, 14, 72, 32, 62, 22, 72, 32, 62, 22, 72, 32, 62, 22, 72, 32, 62, 22
5, 28, 12, 60, 32, 28, 32, 28, 24, 60, 24, 60, 32, 28, 32, 28, 24, 60, 24
8, 24, 10, 40, 26, 42, 24, 72, 26, 42, 24, 40, 26, 42, 24, 72, 26, 42, 24
8, 12, 10, 62, 22, 56, 24, 62, 22, 56, 32, 62, 22, 56, 24, 62, 22, 56, 32
7, 24, 14, 72, 26, 40, 26, 42, 32, 42, 32, 72, 26, 40, 26, 42, 32, 42, 32
9, 20, 8, 30, 42, 42, 42, 42, 42, 30, 42, 30, 42, 42, 42, 42, 42, 30, 42
8, 10, 12, 32, 56, 22, 62, 22, 62, 24, 56, 32, 56, 22, 62, 22, 62, 24, 56
8, 12, 10, 56, 32, 62, 22, 56, 24, 62, 22, 56, 32, 62, 22, 56, 24, 62, 22
4, 36, 12, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52, 28
7, 22, 10, 42, 42, 32, 36, 42, 42, 32, 44, 42, 42, 32, 36, 42, 42, 32, 44
5, 12, 12, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52, 28
7, 10, 22, 44, 32, 42, 42, 42, 42, 36, 32, 44, 32, 42, 42, 42, 42, 36, 32
8, 30, 8, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24, 44, 26, 42, 24
4, 36, 12, 84, 28, 84, 28, 52, 28, 52, 28, 84, 28, 84, 28, 52, 28, 52, 28
5, 12, 12, 28, 84, 28, 52, 28, 52, 28, 52, 28, 84, 28, 52, 28, 52, 28, 52
5, 12, 28, 32, 60, 24, 28, 32, 28, 24, 60, 32, 60, 24, 28, 32, 28, 24, 60
